id,tipo,situacao,data,hora,bairro,endereco,numero,complemento,natureza,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,latitude,longitude
1279,SEM VÍTIMA,FINALIZADA,2016-04-11,20:08:00,TORRE,RUA JOSE DE HOLANDA,539,AO LADO DA ACADEMIA TREINO E CIA,COLISÃO,DOIS AUTO,2,,,,,,,,,0,-8.0449521,-34.9092404
1280,SEM VÍTIMA,FINALIZADA,2016-04-11,22:06:00,MADALENA,RUA JOAQUIM NABUCO,,APOS A FACULDADE MAURICIO DE NASSAU EM CIMA DA PONTE NA FAIXA DA DIREITA,COLISÃO,ONIBUS E AUTO,1,,,,,1,,,,0,-8.0524904,-34.8997373
1281,SEM VÍTIMA,FINALIZADA,2016-04-11,22:11:00,ESTÂNCIA,AV DR JOSE RUFINO,,AO LADO DO ARMAZEM CORAL SENTIDO JABOATAO,COLISÃO,ONIBUS METROPOLITANA X VT POLICIA E MOTO,,1,,,,1,,1,,0,-8.0853148,-34.9296104
1282,SEM VÍTIMA,FINALIZADA,2016-04-11,22:34:00,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,NA ENTRADA DO ESTACIONAMENTO DO AEROPORTO,,VT 36 DA CTTU ESTA NO LOCAL DOIS AUTO,2,,,,,,,,,0,-8.1134632,-34.912731
1283,SEM VÍTIMA,CANCELADA,2016-04-11,22:58:00,MACAXEIRA,AV NORTE,,ENFR A FABRICA DA MACAXEIRA E ESCOLA MARIA MALHA,COLISÃO,AUTO E SHINERAY,1,,1,,,,,,,0,-8.0159377,-34.9303999
1284,SEM VÍTIMA,FINALIZADA,2016-04-12,07:10:00,TORRE,RUA PADRE JOSE DE ANCHIETA,,LIVRARIA BOA VISTA  EQUINA COM PADRE ANCHIETA SENTIDO CIDADE,COLISÃO,SEM VITIMA,1,,,,,1,,,,0,-8.1086561,-34.9590813
1285,SEM VÍTIMA,FINALIZADA,2016-04-12,07:33:00,IPSEP,RUA PINTOR ANTONIO ALBUQUERQUE,170,EM FRENTE A IGREJA ADVENTISTA,COLISÃO,COLISÃO SEM VÍTIMA,1,1,,,,,,,,0,-8.1078197,-34.9255805
1286,SEM VÍTIMA,FINALIZADA,2016-04-12,08:23:00,SANTO AMARO,AV MARIO MELO,,ESQUINA COM MARQUES DO BOMBAL,COLISÃO,COLISÃO SEM VITIMA,2,,,,,,,,,0,-8.0550302,-34.8798191
1287,COM VÍTIMA,FINALIZADA,2016-04-12,08:46:00,MANGABEIRA,AV NORTE,,AV NORTE E/F ARMAZEM CORAL SENTIDO MACAXEIRA,COLISÃO,COLISAO DUAS MOTOS COM DUAS VITIMAS,,2,,,,,,,,2,-8.0241206,-34.9031038
1288,SEM VÍTIMA,FINALIZADA,2016-04-12,09:15:00,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,CRUZ COM RIBEIRO DE BRITO,COLISÃO,COLISÃO COM VITIMA,1,1,,,,,,,,0,-8.1111171,-34.8927465
1289,SEM VÍTIMA,FINALIZADA,2016-04-12,09:38:00,CABANGA,AV SUL,1094,PX A IGREJA BATISTA IMPERIAL,COLISÃO,COLISAO ENTRE AUTOS,2,,,,,,,,,0,-8.0745526,-34.8887129
1290,SEM VÍTIMA,FINALIZADA,2016-04-12,10:05:00,ÁGUA FRIA,AV BEBERIBE,2306,DEPÓSITO DE BEBIDA ITALIANO,COLISÃO,COLISÃO ENTRE  PALIO E MOTOCICLETA,1,1,,,,,,,,0,-8.0178145,-34.8923995
1291,SEM VÍTIMA,FINALIZADA,2016-04-12,10:30:00,DERBY,PRC DO DERBY,,EM FRENTE AO HOSPITAL DA POLICIA,COLISÃO,COLISÃO SEM VITIMA,1,,,,,,1,,,0,-8.0566717,-34.8994452
